Literal_1,Literal_2,Literal_3
-13735,14442,-14453
-1769,5093,13013
-8760,-4840,-9214
-3099,14653,-14458
8248,7509,8574
7187,658,-6395
2117,-5110,-4930
-6872,1379,5525
3007,-15607,8019
15624,-11389,-13806
-14113,4147,1479
8099,-4276,-14159
2469,15249,2567
-2384,-7330,2964
-10396,8121,12272
15817,15830,15941
-8378,-324,-16013
-6239,808,14620
5511,-8050,-700
12509,-13083,10266
7391,3500,2629
-10594,5476,-6018
-8430,-11376,-9025
7932,-91,-2702
666,11432,12623
15013,3752,14960
8665,12924,10947
16185,5741,-11113
-14780,2530,-12480
-15629,-1060,2246
-8023,-14503,-784
-5572,-2460,-15908
-1183,-1247,10225
-4290,6949,-5471
4068,-16306,-13468
-6437,5347,7584
-11219,-14887,-12067
-1477,-13725,12542
5119,1846,15087
-296,8565,15367
7642,-8172,2920
16206,9608,5669
-16218,-5081,1205
12829,-11156,4840
2415,-8265,-15405
11591,-11929,9579
12463,4603,2091
4373,-15163,-5243
6020,10531,-12702
5176,1963,5440
-13013,15273,15511
13353,5344,-7467
8629,-9030,-6069
-14304,12951,9469
-6948,5492,12184
-7381,-11486,-15585
-6589,12686,-7598
3809,-12925,3699
15161,-2087,-3730
14853,-14552,-8750
-354,-6614,-1381
1181,12986,-3284
-14053,-11940,3670
-14249,9249,11123
-7372,-154,849
-14319,-14101,-12461
-9253,4061,-3724
-4206,-3666,-14083
1279,-11137,-8118
3029,2748,-4426
3994,-5426,8543
-4991,4045,-14461
-7359,14820,-16083
-5282,2613,-16194
-8407,-2590,-4723
-14668,-3607,14326
-6195,14419,15705
-9497,9064,1361
-44,12169,9277
-15981,14215,16314
-5955,-2790,4990
-1329,7968,4040
8857,-9453,7359
14435,9559,-8633
-6401,2609,-5573
11670,-14195,1141
8422,-12662,2843
11850,617,6477
-11267,7178,11153
-10454,15521,-1959
-13387,472,11899
15032,4876,-9586
-3468,6827,-2520
-11460,1224,6452
-10157,-15274,-15019
12223,9538,-10557
-3088,1213,4783
-8147,-771,14066
-3095,-6912,9608
16278,578,-3175
8078,4380,15681
-11106,-12242,-13929
1712,-8732,9578
5481,16175,-12350
9433,7920,14462
7658,-2497,-11724
-12525,4175,-5446
14469,3047,1174
-2827,7296,8703
15559,-5150,8324
-3067,-4546,-11734
8126,3792,-5299
4976,-6267,5136
16227,484,-7270
1345,-10962,-11713
-5532,2974,-2579
8157,3903,-13026
-5027,10578,-13892
10329,-4756,10836
-7861,-190,-1449
-9609,6914,-2662
-9183,12569,7690
7528,2239,5826
-13126,5778,-13900
2203,8984,11295
-9252,268,15296
13803,12162,-1237
-10708,11589,-10376
-10065,-2784,-13383
-5014,10634,-9026
3654,4378,-15258
-13682,-10971,-15420
-7273,-239,-15234
-8206,-14558,6269
-10592,6229,513
-15366,8181,10105
2902,1037,9321
-15688,-14338,3493
-3556,8940,-1521
-11275,-9380,3400
-1996,-15504,4248
9755,15431,107
10422,2343,3332
-11795,9851,-8727
2415,2635,-14854
5759,-5516,-5050
14647,14885,12031
11332,-9376,-7608
5689,2343,7944
10139,-12402,158
10666,12435,-2395
-9158,4437,10448
-11242,-6982,-1081
2658,-3233,-11662
-430,4072,-10800
977,-3012,15541
-433,16027,11771
-1959,2464,11686
13800,13701,3411
6510,-9077,-8604
-12486,-4457,-11240
-10831,-163,12807
1088,5778,-3444
9646,-5872,-10928
10864,-2575,-15943
3624,4049,-3431
-5955,-15890,9843
4359,-76,-8205
-16371,-3529,-8333
-3374,-8812,-3272
-6403,-2971,13359
-6325,13558,14505
251,-1079,7497
-6964,15264,-13221
4716,-726,2422
-7745,-12975,-415
1076,6753,-667
13477,13830,-14819
13323,-3568,13272
4125,-10791,-11267
-3997,-14959,8076
7270,-15354,-3159
-1971,11306,1023
-5749,5169,15112
7079,-10569,-15292
-4224,444,6961
2529,-10936,-10813
2140,-16190,-16129
-3143,-11470,-15419
3140,13983,-3237
-12381,-8005,-15721
15374,-6670,-5709
833,-1349,8193
-7479,-4981,4612
-6241,-9315,-11937
11925,-1818,-13745
-14959,5521,2404
-6653,-14807,-11802
14694,12670,1912
5186,-183,1550
-7481,-9240,8217
469,306,-4428
-9753,-11464,11040
-15120,10867,6185
-13862,-3277,2799
-11146,-6448,632
-14014,990,7974
7074,-10037,-8364
5522,-14054,10120
11424,7676,14634
13932,-2469,-15105
14343,-15221,6909
9874,15813,-7705
3774,-9780,-6603
11381,-1510,9607
-12528,9378,6695
-3643,-6952,1320
7001,-15099,-7897
7763,3949,2064
-13992,10783,-216
13261,279,4132
13720,1753,3944
-2816,-11826,8905
15525,2699,-6374
12729,2954,-3015
-11224,-1138,-10024
15845,-8388,7193
11796,15949,-8202
-6723,5870,-1615
10391,-14739,-8005
-13513,559,514
-4606,-10653,9791
9002,10375,-3962
10085,706,3265
-13693,-8416,11491
-8390,15082,5588
12885,-1746,-1050
-4476,7536,14442
-9084,-15061,12199
-13475,5467,-11592
-10889,8836,-855
15093,-12203,3589
-15339,-3696,16346
8415,14784,-14744
-8807,-6829,6462
11299,4403,4879
-6887,-15110,13596
-9532,4318,-403
11890,-53,-7601
-10923,14810,11076
3232,-11450,-16369
2722,-6071,-1704
-6994,7090,9438
5042,1119,-7140
-14614,12921,900
-11948,-10288,9586
-5627,9916,15080
-14675,5330,7747
-556,-1568,-14589
9518,13906,2982
-11633,4737,8946
-10103,-11366,-14632
490,7418,-9363
-3566,3086,-11234
-15250,7272,-6098
15013,285,8899
13273,-10548,3913
-2787,8374,5904
-12601,7668,-4723
8309,-13939,-4591
8244,-4569,-8958
-14267,15009,-8918
-11011,-8035,11622
-11242,-3160,1343
3571,3095,-8000
-6748,1847,-15757
-15520,-12915,4860
12050,-512,13189
-2597,-4820,12556
-15736,-4946,-8201
-6361,-6637,-3186
11251,3683,347
11725,14198,13897
9781,-1835,-15839
11223,-3909,-9375
13988,16239,4478
-12256,4168,-1164
654,4250,-10410
9124,8088,15249
-12222,-340,-863
-9942,7402,3372
-14285,4822,-2040
9176,5224,6311
13590,8340,-11675
-14248,-640,-8365
9149,9040,-7083
-1178,14055,-2086
-12403,-4410,-6327
8561,-2452,-125
4811,10039,-9035
15946,9798,9654
4017,-4014,11985
12715,-12347,-8312
-4563,-5441,16319
-8974,11579,-8071
694,-14635,-16094
-14198,-6706,-12710
-9024,-5309,-13935
-7145,4189,2027
-8141,3081,-9757
-6440,11272,-14484
15355,4348,13994
2974,-15035,2189
-11907,7538,-5175
-2855,12474,-4740
6955,-7901,-14910
-11241,1434,-13607
2736,-10629,12675
11066,10468,-7737
12658,-15301,11544
-16095,-6516,14764
-6867,-3862,3841
12928,-12683,12250
11010,-14761,8042
3838,8579,10737
-4089,10009,10603
7358,14058,-13599
-16204,7745,-8853
10177,16271,6190
-14894,-12809,11766
4476,-13380,15406
16201,-8182,-15181
-9012,7874,3311
-562,7518,-2594
12180,13253,-14279
10828,2699,-148
-3999,-11836,-13572
-3463,191,9967
8430,-4502,-12139
-11518,12397,-15437
-12896,3889,-4419
6822,3285,3775
-6854,-5503,-7845
3140,258,-142
13036,10945,14054
3813,-5091,-12949
11812,-6117,-16293
11875,-14319,4444
-10127,1328,2261
524,5047,13111
12353,2422,1694
15301,-7518,8511
-7186,-14800,-13843
-15933,7421,-3555
4972,-9563,-13850
3923,-876,1293
-6640,701,-2994
-12971,9953,12481
-1786,1596,6647
3296,9768,5731
15831,-1318,-6076
667,-4606,13121
788,-4844,13318
9726,1179,8430
-3290,-1839,949
12352,-12818,1625
12123,-6607,16228
-6579,-9231,1528
-2969,11907,13280
-8332,14122,818
-15244,3187,4778
-9095,-2415,1452
-15556,-14900,9704
-15597,-9402,945
-10993,-1485,4090
-7924,14150,-3520
-6365,-6798,1413
-7493,-11709,7230
15648,-2364,16248
-6296,245,-1727
12801,5288,-15407
-9333,-5772,8587
-277,2466,6767
8234,-2886,-4262
1459,-8599,-1057
-6317,14058,10225
9173,-2883,-15010
13838,-7564,-12493
-2900,-186,5299
-4606,-6056,-3252
1381,-14690,12852
-8519,-9062,-11634
4533,-13689,-4242
-15799,-1190,-11207
12995,15280,-6152
5449,-8212,-7066
-2789,-1311,-8541
-15152,6003,-386
6110,-4748,10363
-15398,4505,13461
6737,-11550,8316
-354,4472,-8273
-2414,4995,-4186
13526,-13433,-3816
-10112,-13733,4019
16185,4758,-3712
8978,9011,4595
-5215,-1820,-7274
16303,-16111,-241
-1965,-3985,5640
-6486,12524,7066
-9484,7916,11784
-3454,14905,2962
-1919,1649,-10165
70,1417,-13915
-8788,-6959,12685
12913,15062,-3684
7016,-7225,-10680
4150,-5210,-6530
10968,5484,-6948
2019,-10008,13094
-13740,10399,11249
3451,10741,7540
-470,4130,10005
13357,2981,14852
-785,-6473,5158
-6167,-4608,-838
-13351,-415,2851
-3391,-12728,853
-3293,-1287,-3110
8907,-2337,-5556
5428,-14197,16172
1823,15226,-568
-4272,-7429,-4116
-6935,14065,12869
-13196,-1122,-2833
-3807,-15985,9460
-13031,-3527,-13837
12698,1346,-15171
15353,-15050,15585
15661,13509,-9999
-9507,11479,-8532
-2258,5137,-2382
-3537,-16320,6118
9933,-8838,-8437
-11734,-13931,-3956
-4066,-4465,-1281
-1738,-12760,7966
-7253,3277,-1362
-15486,4210,-9870
-14467,12554,12851
-2068,6781,15783
11658,-12511,-527
-5876,-5377,-1325
-6102,-14452,-11364
-3768,6179,2711
-12822,-6201,-7512
5730,-10805,-2853
6498,5857,-6342
-289,-8693,-9962
-8328,-10009,-9738
-9052,-12015,-13492
-1273,-1839,-4130
-11993,-2068,-3313
-5758,-929,7561
15827,16296,-6822
-4959,-9742,7348
15871,5259,-15460
-4904,-1992,-4526
1650,5561,7033
14956,-4853,-10942
-7484,3551,-1261
1878,13216,-5948
10506,-6411,14688
14785,-15315,-156
13228,-12528,1970
-2723,15943,-2940
7668,-5950,-3132
-12833,825,953
-3030,-6960,-6615
-15747,7368,-10319
-10302,16296,-8079
6929,-7805,16074
-5232,-3321,-2977
1796,9967,-8053
-2640,-7813,8470
-9266,14177,-6204
-11806,-5326,15088
14708,-11008,-12808
10810,-6482,4142
-6075,-4032,-15344
4598,4289,912
-11864,14706,1218
-6354,16253,7799
15905,5106,-13982
-4015,3738,-9814
-11035,15828,-11776
11762,-14281,15313
4723,4823,-7304
-5034,-1423,-10976
-11386,-13065,-4458
-222,4479,8268
-5249,12733,9226
9639,10384,4379
13540,1406,5217
-16129,12908,-6430
-9620,-12918,-1755
8155,6192,2311
1510,2815,7466
-1758,-2768,10205
11245,-15441,16324
6924,7731,-6117
16344,6882,-5835
11123,11946,-1364
-13118,3901,-3550
4645,-15513,7235
8073,-3549,-12690
-8214,7526,10728
-12997,10644,6690
8996,-4423,-16209
3933,13851,11885
14472,13829,5807
-1601,-3371,15784
-14375,-9055,12591
14691,16182,2781
-15485,1207,-12779
14507,-8682,8273
-4335,-5496,7269
-4947,-15785,-1229
-12488,-10701,-5244
14151,478,5909
2507,-7887,-2147
2898,-10736,-8005
-5002,-11152,6025
4275,16061,-13274
16216,-2073,-15944
-889,14296,15305
7689,-11923,14088
2826,-3508,-2770
-11867,15232,-822
4758,-13883,13239
6379,-14234,7099
13403,370,-5229
-7510,-2685,8713
-5984,13775,-7089
-1080,-10940,16368
9652,13521,-2694
15191,-12253,-2795
-5932,6125,8455
5735,4399,-2690
-13423,3555,-15648
5833,-15434,-5131
10029,15222,768
-8358,10799,16160
-918,-3227,3739
-6117,-3806,11770
1524,9171,-3683
5286,-1868,-12413
6551,5089,-8921
-1209,11397,-4726
-2879,-10842,14200
251,-3463,14437
-10347,5037,5361
-10699,2740,-7715
-10510,-4917,6288
-7470,2624,3866
-11262,-15612,-10795
-13208,4703,1032
-4594,-5071,-5683
-3937,589,3766
-12025,-10373,-10868
-13504,7036,1480
1846,4829,7657
15394,9758,16145
-6170,-14818,9154
8557,13826,10450
-8181,-10095,-14672
-6478,11899,-8459
10275,-6377,11850
3767,20,-9141
1610,-14009,-5848
2543,14301,-1175
-15809,-7598,-1538
1977,-1115,12772
7668,7384,14826
830,16338,5965
-11755,7364,-161
-2438,13383,-5124
