Literal_1,Literal_2,Literal_3
12924,-8786,6651
2514,8686,9427
-1096,2101,-9804
-6153,15807,-5531
-155,10009,14420
-13866,-575,1033
4630,11223,16349
9105,-10815,-14308
3033,4149,-10324
-5643,-2951,-5998
1280,-16276,12000
-12769,-7279,-15495
-2693,1578,-3364
-11670,8619,-2577
-4978,-9614,-13343
1651,-4408,-3722
1434,10949,336
-15645,3233,-9138
-6016,9165,7241
12091,-13645,3632
4500,10894,14775
-8976,-3703,13056
-4485,-14405,-15843
-5122,8168,7217
-1644,-6440,-11931
4255,3250,7201
5903,4173,8657
11841,666,-7774
-15041,-9822,-7707
4473,-15732,-3914
-1156,1155,7892
-15564,6266,13785
-4104,7327,-12021
13695,-16271,-5936
-10245,-10404,12260
-6452,1624,13682
12745,-12079,13
13487,3870,-5235
-5419,-3851,11186
10765,-12967,12272
10782,-993,9955
-10544,-5674,-8087
4128,4492,8404
-9525,-14742,-1455
-1928,5232,4591
-5243,14187,12079
11047,-3799,-11967
-2325,3490,-9856
-2879,-15304,4774
-3867,-3556,1717
7940,4515,7160
5458,-15623,-8376
15488,-7410,-13733
-15272,-14798,-4888
15600,14214,12698
-13905,-15774,10751
-9157,3237,-10227
2030,2684,8195
7397,-13389,-8072
7069,9824,-1740
15286,6626,4372
15211,15245,-3555
5396,4218,-16146
11311,-4054,559
13211,8586,14759
-15102,-15388,-10659
-256,12089,15451
-3922,12319,-15362
12849,-5509,4716
-3414,8975,-325
-2535,-16127,12827
11289,6376,5655
6832,4845,-9931
-1240,15414,14674
15374,-6152,12153
-5489,9020,13096
-869,10486,5593
-12972,960,-15561
6429,-14765,12512
-5041,12495,3788
-7183,-444,-11278
15129,5957,15614
11198,3310,11849
10381,11176,12449
-11925,8319,5967
6217,175,-196
11054,-2617,-5659
9039,794,12450
-11412,10158,9468
-8749,10695,-14565
12157,-9780,-14905
6301,6861,12693
9779,15083,-5171
-12293,-4150,-1466
4526,5389,-15983
-5782,8134,-6296
-7106,12144,7741
14260,3959,-6130
-6997,2555,16002
2824,13822,-2330
15334,791,-1197
2396,-4395,11799
14835,11488,5202
-1899,-16359,-8668
6846,-8018,-8094
160,4373,9071
-11322,12329,-8014
-9732,-8040,-15086
13433,-4224,7725
-13564,13320,14759
4418,-15157,10138
2788,8840,15920
-9339,8126,16244
2689,-7875,-5188
11018,12165,9346
-11308,11171,-3942
8252,1215,1627
-9016,12698,-3479
11485,-3693,5285
-11133,6020,13769
3395,1542,8814
13391,3359,10161
7697,13558,-8811
-6621,13500,350
-4198,-405,-2657
3286,522,14423
14897,-1859,-8414
13121,936,-11075
5621,-6829,-4288
-2189,-6475,-5378
1670,10504,-7076
1879,-1800,6401
-6980,8050,-5228
14623,-11836,931
-10506,-13661,8888
7202,-1647,-15776
-14057,-10223,-12435
-13863,-16240,16173
-10335,13621,-14156
1677,13652,3907
15747,-4819,-1794
2698,15495,-5127
2350,12555,-2117
-10583,8544,14623
15760,6352,13212
11714,13387,-10095
-7766,-415,8499
-1873,-10888,-12712
-8343,11573,-13092
-14866,213,-5352
7745,-8177,9131
8714,2121,14673
2944,-10885,-12632
10274,8844,12791
9331,15630,-3666
-12053,2193,-3418
648,-3772,-4588
590,5959,-3424
-8607,-9196,-15419
14673,-7050,-14694
-4768,8421,-3813
-15587,-2445,12880
13926,5925,11601
-6875,-5608,-3169
-11116,13834,-8614
8839,1160,-225
-8805,6522,9844
-1866,-8354,-13182
16201,-3124,-2972
6039,11995,-12305
10698,-14832,-14850
7765,7758,-5564
9871,-16043,8832
-15270,-1235,-13498
-2102,13998,-7600
-13019,-3012,-3411
4209,7332,-14909
-9843,-6430,13119
5922,-14683,-1319
-13969,-10649,10162
-5250,-2089,14445
13189,12283,-8323
-3976,-6614,2163
-8538,-10301,13174
3275,-7175,14452
-10772,-9670,2883
5493,-14668,-859
8338,-12155,-15078
3486,1141,-6046
8324,-1319,-11392
-7285,10749,-464
14739,-1447,-510
-13684,-10443,-3103
-10748,5530,-10658
-9748,2290,-6095
1093,-5685,-14559
1816,11749,-2605
-1913,-13375,-13396
4143,-12952,8870
9927,1134,-1718
1579,-7290,14246
9239,11921,16364
-2058,2100,-5878
-5966,-1874,-5147
1718,2019,-9404
-1360,-12380,-3867
-15547,5239,8018
-7630,2212,14122
-20,6646,-15930
5009,1572,-12778
15232,8858,15995
3099,-6033,12999
9939,-5411,37
3958,13028,9829
-9449,8113,-10773
-14857,-10997,1264
3158,-1934,2410
7543,-4893,-7850
3105,-15688,15947
-16343,5927,9251
-8402,-6871,6236
2779,-4381,-13183
-12175,-15701,2248
-820,-7884,-7437
-15333,5505,13353
6344,14865,14049
-12319,4283,-8828
1807,13428,-2041
12937,-9525,-5515
-6758,-5114,-11085
-5417,-1933,13597
-8295,3655,-854
-1048,-12493,-3746
10048,14862,-5596
5376,103,9242
-2374,12545,-1982
-1990,12302,8499
11892,-4288,-1139
14433,5120,-11675
-9508,-14256,11126
9370,-10318,-7525
3421,7917,12742
7287,-2127,-1868
12631,-10861,5117
1669,2619,-3759
-7572,7803,12291
-12237,10325,2654
11474,-8058,-11707
-5749,-14326,13284
2205,-12371,-15718
-16249,-6696,14696
3254,-15418,2319
1241,221,-8077
7454,-3013,-14406
-16214,-2491,-14775
-7525,7764,773
8157,12521,16124
10390,-6852,1780
8993,14467,-11827
-11342,-3611,-13739
-15802,14983,1486
-14354,12028,16260
-7841,13083,-4732
-670,-2806,1905
4419,1765,-2132
-9817,12850,1032
-7898,6473,-8247
-11024,-924,-8751
-3274,-3359,10768
7875,3753,-15463
8270,15466,-9665
4331,9140,-4664
-10430,7910,13613
15641,7384,-11318
3833,4135,9282
-3559,-9958,12034
-6014,7482,-9775
290,-4489,4585
15577,-4016,-5253
7208,-9207,14514
-15010,5458,-15324
14479,-11807,14702
10266,16288,-9067
-7338,2638,-15073
-9876,8472,-1619
6708,-295,2678
-13790,15948,8352
5999,15050,-4289
15469,8812,8268
-12381,5612,-13562
-6804,6514,12474
-7583,14169,-6103
-3916,-13036,2861
13834,-13153,-9605
13567,15738,1896
11444,-8097,-15680
-112,1055,-3747
-15938,-10062,-10611
-15619,8238,12258
-16113,881,3970
980,16359,-12062
6380,-13729,-12077
11949,6275,-14579
4678,11267,8158
-2216,-12669,-10166
-1842,375,2296
-15357,-2447,14077
11384,-10633,3377
-12516,-10072,-16259
13227,7264,-4318
9406,-13866,3506
-8353,9127,7941
2989,-14737,-319
831,-11319,-10139
-3022,8290,-16106
-5579,-14164,-298
-9287,-2575,12820
11347,-14427,3736
13247,-13218,-6816
-1420,-795,5143
702,1639,10876
-4729,-4053,11159
12512,9977,11178
-11714,-9824,119
5592,-4658,7294
-10309,-6605,5069
-11978,-2764,3916
13292,2664,-8022
-2655,501,2779
-6594,3441,2410
-10468,-7713,11675
-3190,7770,-1684
-16238,-15234,-12752
-4694,-10264,11348
14227,-9728,-5665
2059,4082,1204
-6762,-823,-2224
13623,14276,5643
16152,11297,-11519
-176,-15946,15180
-4653,10949,8197
-6340,-11617,-12665
718,-7114,6904
146,12553,-1883
12001,-557,5679
-13761,-9499,14923
-10119,-3261,5353
-15656,16383,-15001
-13173,9805,-12592
13997,2831,-9484
-12731,-4851,-1310
12123,-1310,-8325
5439,9276,9138
14776,-3537,12221
-2358,-15785,2578
8119,-10990,4961
1348,-11776,-14361
9983,-12615,6440
-14931,6302,-14516
-9233,-2908,3277
-3957,-4901,3140
4469,10583,-1546
-6569,-12176,15179
10106,-8425,4500
6852,10607,-2717
6178,7533,7139
581,2349,-4489
-15292,-4220,-3070
7322,-10729,5712
12304,-5917,10808
-9412,-2473,-5724
-12977,8411,285
-7148,-8875,6823
-7780,13758,14543
1330,6577,3745
12470,-944,-7020
-10637,14,13722
-8525,-4016,625
-4008,-340,5220
11143,-10269,-4125
8745,3291,10665
-16261,1634,15891
7726,-14928,-5209
-11623,13343,-10145
-915,12138,15307
-4019,7787,-7762
10046,-6178,-951
2650,9677,14141
-650,188,-744
15777,4653,-14160
2819,8005,5264
-16348,12419,-11118
-12317,-6394,13320
9929,13855,13015
4215,-822,-6605
1690,4024,2627
3447,-4539,12759
-12698,-11628,6221
9323,7579,14169
-10775,745,-4673
-14872,13185,13792
5278,-418,-9528
-4418,12328,-12607
2258,10350,15126
-4322,-12012,6826
7951,3200,16017
1719,14157,2930
-3454,-13029,5294
-9173,-3280,7523
-4626,13707,3627
8521,7995,510
-13348,-10327,-11462
-12820,-10467,-10343
3710,-13967,-1326
16108,-6414,13200
-14567,7887,10533
3322,4552,-10836
3,-2425,2680
-9846,-14006,-10061
5431,13470,13111
-11116,13663,3988
5401,-3709,-12141
-12900,10509,6407
5167,3003,-9271
2426,8148,440
-12011,-12735,2834
12680,-1249,14124
5886,-7247,-6719
2166,5469,-13819
13689,-5851,4615
-11593,15786,11400
-1782,-5020,6100
-5111,-6786,13815
15171,15045,-1198
-11686,-7005,1187
1639,321,-11046
-4758,-7180,5969
8889,15895,6000
3216,11194,-5209
-11532,-4419,8226
-4649,-6814,-16257
6789,-11255,-12497
3194,15254,-2316
-15238,-13214,12310
8076,2285,-9194
11314,-15801,9216
4403,10021,13442
-9491,-7512,16073
-3431,-16185,11316
12664,-15935,-11895
13053,-5875,-1163
3975,14227,99
7828,13670,6278
-8915,-3137,4716
10410,5971,14287
-7131,15190,14262
-13607,-8555,-2380
12469,-14885,-2833
467,-4416,-7255
13574,-12929,-7188
5593,2907,5797
-101,-3801,-13487
-10281,-7154,-15644
8205,-1260,-13834
-1374,3624,12156
8865,-188,-14644
-554,6900,-13154
-8099,-2580,12109
-5153,8959,-2569
12103,2454,10576
-11177,-7930,-10076
10417,10372,-8286
-5532,6143,-4925
-1882,16149,16176
12811,1159,-7916
-14380,2991,4917
987,10228,540
-10437,15218,15693
2934,14785,627
9403,-4328,-13076
-3085,-9,-777
-4784,-14492,-1718
-3037,-15176,2604
-4958,-9886,13901
13619,15770,15662
4104,9509,6821
8957,-4250,-9780
5092,2034,-7586
15309,12297,-11849
13328,-11842,2707
-1466,15400,-15441
-14952,7758,5201
-2136,14595,-8805
-13881,-4094,11115
16207,-13060,16310
9604,-14751,11446
14256,12840,4034
16099,-3460,13160
9694,-4503,-10525
-10087,-15961,187
-7763,-8775,2795
-916,-15208,-7563
-4604,10097,-6723
16120,-3603,-12205
14602,9864,-4983
10540,1383,-2884
-4466,2086,11002
-70,-7015,14693
-9776,14365,-15922
-14345,12816,13082
-10002,4984,2377
331,-5406,10716
10661,-6181,-2375
9662,12447,16372
-5308,-12142,-6931
10,14614,11704
-9912,-4167,-9651
-15311,-15570,10711
10089,-106,-7862
13170,8493,-3967
10444,-16027,-6745
2743,-92,6494
4025,-14531,-10478
-10768,-12231,-7292
-1185,13060,6841
1101,-5918,-7112
-10140,-11093,-1767
5875,4915,-5874
-11159,8258,8417
-2143,-13813,-8977
276,-6994,1906
-11837,11436,-3227
-11904,-14533,9167
8445,2461,4973
-1639,-14295,754
15491,-12159,652
970,-5088,-699
14124,14901,2285
-11389,-5209,-13803
15238,-8634,-955
10272,-14048,13873
9595,13458,-13122
-7803,-12857,-5112
-15296,5345,-13529
5778,-9806,14695
6967,-14895,11588
-4436,6465,-1687
930,1692,15223
-15089,-11979,3073
10778,-1106,-6019
5413,4448,15923
-9297,11615,-7762
7864,2978,9407
-15866,-13270,7370
-2069,1586,5947
11119,-88,-5288
10684,-200,16139
-9000,-7055,6350
-10102,11324,402
-5915,146,13861
-10514,-13683,-16364
10280,-1027,15330
5552,-6264,3945
-11181,9917,-10105
3378,3862,14932
7452,-13808,-4743
-4174,-8859,14322
12097,-10264,3935
13972,10037,-16315
-2492,-7170,1230
-625,-3868,8481
-398,-10205,-2559
-15622,-13407,-14099
-8920,-14884,-4254
-8445,3382,1536
1215,-2142,-605
-5059,-4637,271
-7502,6671,4974
2766,1355,9222
-5710,-6589,-13901
-7633,6160,-11332
5231,8197,-807
-2724,59,14773
6494,-15837,-13197
12117,-8746,-2797
11785,-6889,-3528
-8662,-12829,15906
-1869,4502,-7582
9903,-9950,7297
-7287,8446,6612
9991,16361,11626
14420,-5221,439
-12797,-4789,5254
15972,7518,-9715
-5114,3803,-9041
-9305,-13205,5480
-14672,-10190,1404
4019,9351,-15050
-1653,-6218,9551
10580,-2659,6499
15494,-1070,9180
-8237,8369,14244
12894,-8515,-8662
-6805,11554,4258
10796,13955,14020
295,10059,-10589
15597,-4577,14632
13306,13312,-15347
8823,8493,1283
-747,-14462,-15279
16280,-15205,-4856
-11696,-6266,-6015
-5501,5883,8796
9394,-9280,-15814
14119,-5892,-4255
-5303,-5459,15276
-7748,3464,-8296
10175,9258,-9189
9656,479,-13036
-14406,14823,-15372
13815,2034,-1531
-4551,-8538,-10698
5331,-5071,-16275
-2592,-2538,652
9227,3416,-9865
8616,-10431,7671
-7280,-5448,7729
2412,12744,-11937
-4966,7077,2547
-10234,-9368,-1633
13670,8951,4635
-6038,-12498,2829
12970,-11359,-11112
-15186,9924,-11866
11340,-10552,279
-9177,9948,2598
10942,-9738,10615
4418,2197,-15872
-676,-10439,16120
-508,-15798,-15581
-8577,-4271,7204
-13017,-11673,-8046
2199,-2330,13710
-9136,-7578,11530
2596,15592,3559
13852,-9275,-2608
7973,1961,-906
2573,-3243,11060
12273,3369,-7328
14518,-3026,-182
7784,-13921,12047
1565,-6423,9595
10696,11348,-5183
-12252,13022,3816
-14766,5113,14606
-2821,-7035,15868
6577,684,-6024
640,1328,2045
12704,1656,10874
11358,-1066,10248
-12093,16204,13122
10891,3101,-4973
-10508,-8711,11824
11706,-6187,-5975
-10510,-5449,10054
9194,-1189,599
-2714,7362,10445
13570,910,-10602
11944,-4075,660
12764,8306,-16077
-14133,-2838,-11368
6272,9561,-15012
-12480,1131,13431
15084,14365,471
-10373,9266,-14043
-14983,13748,-7635
-2613,3259,11513
-13837,-1371,-7005
-2721,10216,8714
-4125,-6513,7528
2483,-3867,-15464
10679,-11155,2971
5470,4062,-12032
-8716,15990,-10928
-3073,-15247,-10395
828,-14875,12623
-6424,12368,14227
1540,8631,-16372
9538,-1803,7124
3429,4664,-6695
11896,-13630,-2195
-1035,7469,841
14430,-5628,8917
-15049,15525,-10665
9932,9890,-6986
11172,9009,10049
12771,-7865,-15011
12960,-8635,-4160
-11158,-10236,-3125
-1213,-3771,-8040
-6170,9723,-11407
-1666,-12149,-550
15429,8823,3975
-7545,-9001,1744
-9974,7247,-5109
-1720,14658,8043
12165,-10526,-6563
-5763,13263,-8552
13924,9431,-8304
7623,10358,-13086
-5256,16074,-16154
-10148,-373,-9763
8434,-7529,7404
-3191,4245,-4949
11104,8890,9166
-4768,-270,-9213
5990,-13549,-11906
13019,-13956,14087
-5969,-5377,14137
10840,6450,-663
15407,5449,-14925
-11621,13824,-14084
5340,441,-15787
5465,-6466,14121
-8469,3599,5879
-3733,4861,3537
8608,-63,-10353
-4881,2177,5105
-10525,-6739,6197
-15285,13953,-10860
14607,-12703,-6571
-14873,2390,1121
-16157,-10111,1004
4638,149,-9209
-10529,-180,-14099
-10434,9881,-3726
-6815,-12693,10816
-11698,-15554,-1791
9722,-2449,15855
-2500,6524,-8862
-14769,4575,3442
-9655,2349,2357
9910,-3246,-16165
524,13922,-12526
-2238,5139,-15460
-14191,10014,-10690
4173,-13829,-7479
14342,5637,9217
-6107,1242,-14359
-132,11765,5277
2043,11959,-75
760,1957,10214
-652,12489,-2262
10341,-14241,-13844
4601,8592,8341
8519,-7745,-5925
10355,-7054,-1381
14338,8784,-13008
2995,3345,-11436
-5137,-1883,-5804
8779,11670,2705
684,1138,-11961
-1264,5825,-1525
12923,2359,13784
6031,11582,-12235
-8549,4806,225
-4191,-11448,14125
3653,-384,3526
-6075,-6948,-3697
14923,4911,9512
15962,16221,-1272
8670,7495,11976
-8336,3626,-2529
-16224,11037,-6030
-10914,-6211,-16365
-725,-13195,3918
-14320,-8692,-14910
15056,14579,15455
3641,-9580,14672
13489,-6695,-8666
-7151,-785,6523
-11242,1886,8365
-14131,-12855,3798
12903,-12863,11153
-10414,8888,-9220
3454,4477,-10807
3358,-7566,16253
-8114,8449,-12221
-12255,-12835,-14349
10485,7612,-10256
-8665,5974,-15626
-3600,712,68
10422,6936,15155
14336,15696,-5659
-10148,7798,7770
-14561,-15871,-8193
11248,-13962,6844
13547,-12603,11346
